"TambonID", "TambonThai", "TambonThaiShort", "PostCodeMain", "PostCodeAll", "PostalCodeRemark", "DistrictID", "DistrictThai", "DistrictThaiShort", "ProvinceID", "ProvinceThai"
"100101", "แขวงพระบรมมหาราชวัง", "พระบรมมหาราชวัง", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100102", "แขวงวังบูรพาภิรมย์", "วังบูรพาภิรมย์", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100103", "แขวงวัดราชบพิธ", "วัดราชบพิธ", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100104", "แขวงสำราญราษฎร์", "สำราญราษฎร์", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100105", "แขวงศาลเจ้าพ่อเสือ", "ศาลเจ้าพ่อเสือ", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100106", "แขวงเสาชิงช้า", "เสาชิงช้า", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100107", "แขวงบวรนิเวศ", "บวรนิเวศ", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100108", "แขวงตลาดยอด", "ตลาดยอด", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100109", "แขวงชนะสงคราม", "ชนะสงคราม", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100110", "แขวงบ้านพานถม", "บ้านพานถม", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100111", "แขวงบางขุนพรหม", "บางขุนพรหม", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100112", "แขวงวัดสามพระยา", "วัดสามพระยา", "10200", "10200", "", "1001", "เขตพระนคร", "พระนคร", "10", "กรุงเทพมหานคร"
"100201", "แขวงดุสิต", "ดุสิต", "10300", "10300", "", "1002", "เขตดุสิต", "ดุสิต", "10", "กรุงเทพมหานคร"
"100202", "แขวงวชิรพยาบาล", "วชิรพยาบาล", "10300", "10300", "", "1002", "เขตดุสิต", "ดุสิต", "10", "กรุงเทพมหานคร"
"100203", "แขวงสวนจิตรลดา", "สวนจิตรลดา", "10300", "10300", "ภายในพระราชวังดุสิต ใช้รหัส 10303", "1002", "เขตดุสิต", "ดุสิต", "10", "กรุงเทพมหานคร"
"100203", "แขวงสวนจิตรลดา", "สวนจิตรลดา", "10300", "10303", "ภายในพระราชวังดุสิต ใช้รหัส 10303", "1002", "เขตดุสิต", "ดุสิต", "10", "กรุงเทพมหานคร"
"100204", "แขวงสี่แยกมหานาค", "สี่แยกมหานาค", "10300", "10300", "", "1002", "เขตดุสิต", "ดุสิต", "10", "กรุงเทพมหานคร"
"100206", "แขวงถนนนครไชยศรี", "ถนนนครไชยศรี", "10300", "10300", "", "1002", "เขตดุสิต", "ดุสิต", "10", "กรุงเทพมหานคร"
"100301", "แขวงกระทุ่มราย", "กระทุ่มราย", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100302", "แขวงหนองจอก", "หนองจอก", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100303", "แขวงคลองสิบ", "คลองสิบ", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100304", "แขวงคลองสิบสอง", "คลองสิบสอง", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100305", "แขวงโคกแฝด", "โคกแฝด", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100306", "แขวงคู้ฝั่งเหนือ", "คู้ฝั่งเหนือ", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100307", "แขวงลำผักชี", "ลำผักชี", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100308", "แขวงลำต้อยติ่ง", "ลำต้อยติ่ง", "10530", "10530", "", "1003", "เขตหนองจอก", "หนองจอก", "10", "กรุงเทพมหานคร"
"100401", "แขวงมหาพฤฒาราม", "มหาพฤฒาราม", "10500", "10500", "", "1004", "เขตบางรัก", "บางรัก", "10", "กรุงเทพมหานคร"
"100402", "แขวงสีลม", "สีลม", "10500", "10500", "", "1004", "เขตบางรัก", "บางรัก", "10", "กรุงเทพมหานคร"
"100403", "แขวงสุริยวงศ์", "สุริยวงศ์", "10500", "10500", "", "1004", "เขตบางรัก", "บางรัก", "10", "กรุงเทพมหานคร"
"100404", "แขวงบางรัก", "บางรัก", "10500", "10500", "", "1004", "เขตบางรัก", "บางรัก", "10", "กรุงเทพมหานคร"
"100405", "แขวงสี่พระยา", "สี่พระยา", "10500", "10500", "", "1004", "เขตบางรัก", "บางรัก", "10", "กรุงเทพมหานคร"
"100502", "แขวงอนุสาวรีย์", "อนุสาวรีย์", "10220", "10220", "", "1005", "เขตบางเขน", "บางเขน", "10", "กรุงเทพมหานคร"
"100508", "แขวงท่าแร้ง", "ท่าแร้ง", "10220", "10220", "หมู่ 8-10 ใช้รหัส 10230", "1005", "เขตบางเขน", "บางเขน", "10", "กรุงเทพมหานคร"
